description,category,urgency_score,urgency_level,location_type,category_label,urgency_label,text_length
There is food waste on the street and stray dogs are spreading it. Children are passing through the area every day.,garbage,9.5,critical,hospital,2,0,21
Several types of litter have accumulated near the market entrance and are creating a sanitation concern along the student walkway.,trash,8.5,high,school,7,1,20
"Footpath drain overflowing near a school after recent rain, children are walking through dirty water.",drainage,8.5,high,school,1,1,15
The waste area is attracting flies and has a strong smell. The collection has been missed repeatedly and the pile is growing.,garbage,7.0,high,hospital,2,1,22
"School-side drain overflowing with sewage after recent rain, residents face a serious health risk.",drainage,9.5,critical,residential,1,0,14
The pothole is making it uncomfortable for people riding motorcycles. It is on a road used by many people.,pothole,5.0,medium,market,5,3,19
"Market drain leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0,14
Plastic bags and food waste are spread around the area. It has been there since yesterday.,garbage,9.5,critical,residential,2,0,16
फोहोर राख्ने ठाउँ नभएकोले मानिसहरूले विद्यालय मा नै फोहोर फाल्ने गर्छन्। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,8.2,critical,school,0,0,16
Waste is blocking part of the footpath. The waste is making the area unpleasant.,garbage,9.0,critical,residential,2,0,14
Waste is collecting near the drain and blocking the water flow. The waste is creating a serious problem for people using the area.,garbage,8.5,high,residential,2,1,23
There is a hole near the edge of the road where motorcycles pass. Vehicles are swerving to avoid the hole.,pothole,7.5,high,residential,5,1,20
"Industrial drain breeding mosquitoes, the area has an increased disease risk.",drainage,7.5,high,residential,1,1,11
"Government vehicles parked at a busy junction in Birgunj since yesterday, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1,16
Public bin overflowing onto the pavement at the industrial road.,trash,6.0,medium,industrial,7,3,10
"A section of the footpath has sunk below the surrounding surface and is difficult to walk across safely, near the main road junction.",infrastructure,7.0,high,highway,4,1,23
"Public notice board covered with political slogans in a commercial area, part of the public notice cannot be read.",vandalism,6.0,medium,commercial,8,3,19
"Heritage rest house left with its notice torn down near a hospital, the culturally important surface is damaged.",vandalism,8.5,high,hospital,8,1,18
"Trucks parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.0,high,residential,3,1,14
"Minibuses left over a zebra crossing after recent rain, pedestrians are walking into traffic.",illegal_parking,8.5,high,public,3,1,14
"Plastic bottles scattered near the road, near the school.",trash,2.5,low,school,7,2,9
"Buses blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,6.5,high,market,3,1,13
"A damaged retaining wall is showing visible cracks and appears unstable beside the access road, along the industrial access road.",infrastructure,4.5,medium,industrial,4,3,20
Pani parepachi khadal ajhai thulo bhako cha. Bato banaidina paryo.,pothole,8.0,high,residential,5,1,10
Mixed litter blocking the footpath at the highway.,trash,5.5,medium,highway,7,3,8
"Household trash bags are scattered across the residential street after being torn open by stray dogs, along the hospital access road.",domestic_trash,9.5,high,hospital,0,1,21
"Motorcycles blocking a hospital entrance in Itahari since yesterday, ambulances are delayed.",illegal_parking,9.0,critical,hospital,3,0,12
"Household waste has been left beside the road for several days and is attracting insects and stray animals, along the commercial street.",domestic_trash,6.5,medium,commercial,0,3,22
"Parking restriction sign blocked by a vendor board near a hospital, parked cars are blocking junction visibility.",road_damaged_sign,7.5,high,hospital,6,1,17
"Temple wall damaged with permanent marker on a highway, the culturally important surface is damaged.",vandalism,8.0,high,highway,8,1,15
"Buses parked fully on the footpath in Bharatpur, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1,14
There is a hole on the street that drivers are trying to avoid. The damaged spot is limited to one small area.,pothole,3.0,low,market,5,2,22
"Covered drain damaged near a commercial area since yesterday, wastewater is spreading on the footpath.",drainage,7.0,high,commercial,1,1,15
"School buses parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.0,high,school,3,1,14
"Bus-stop sign hidden by branches in a commercial area, people cannot identify the correct bus stop.",road_damaged_sign,4.5,medium,commercial,6,3,16
राजमार्ग को भित्तामा स्प्रे पेन्टले बिगारिएको छ। सरकारले चाँडै हेर्नुपर्यो।,vandalism,7.8,high,highway,8,1,10
There is a broken section of road near the walking path. Drivers have to brake suddenly when they notice it.,pothole,8.0,high,school,5,1,20
"Construction vehicles parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,8.0,high,highway,3,1,13
सडक संकेत राजमार्ग को चोकमा भत्किएर दुर्घटनाको डर भएको छ। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,7.6,high,highway,6,1,13
A pothole is making vehicles move to the other side of the road. Several vehicles are being affected while passing.,pothole,7.0,high,school,5,1,20
There is a pile of household waste beside the road. Dogs are opening the bags and spreading the waste.,garbage,7.0,high,hospital,2,1,19
"Animal-crossing sign hanging from one bolt in a public area, drivers are not warned about livestock.",road_damaged_sign,7.5,high,public,6,1,16
"Food containers scattered near the shops, near homes.",trash,5.5,medium,residential,7,3,8
"Construction vehicles left beside a no-parking sign after recent rain, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3,14
"Public rubbish has been left beside the community walkway and is affecting normal pedestrian access, along the student walkway.",trash,5.0,medium,school,7,3,19
"Government vehicles blocking a hospital entrance since yesterday, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,11
"Rental cars parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.0,high,residential,3,1,15
"Hospital direction sign cracked with a loose edge near a school, ambulances are missing the correct access road.",road_damaged_sign,8.5,high,school,6,1,18
"Narrow-bridge sign faded and unreadable near a market, night drivers cannot see the hazard.",road_damaged_sign,8.0,high,market,6,1,14
There are potholes on the street and motorcycles are struggling to pass. The problem is becoming more noticeable each day.,pothole,8.5,high,school,5,1,20
Several holes are visible on the road surface. Water collects inside the hole after rain.,pothole,7.5,high,market,5,1,15
"Pedestrian-crossing sign turned toward the wrong road near an industrial road, vehicles are braking when people enter the road.",road_damaged_sign,8.0,high,industrial,6,1,19
"Taxis blocking a residential driveway in Janakpur, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3,12
"Narrow-bridge sign missing from its pole near a market, motorcycles are braking suddenly.",road_damaged_sign,8.0,high,market,6,1,13
"Public toilet damaged with permanent marker in a public area, the same place was damaged repeatedly.",vandalism,5.5,medium,public,8,3,16
There is a broken section of road near the walking path. It is difficult to see at night.,pothole,8.5,high,market,5,1,18
"भित्तामा अभद्र शब्दहरू आवासीय क्षेत्र मा लेखिएको छ, बच्चाहरूले देख्छन्। मानिसहरूलाई धेरै समस्या भएको छ।",vandalism,6.9,high,residential,8,1,15
"Industrial drain collapsed beside the road, pedestrians could fall into the opening.",drainage,8.5,high,public,1,1,12
Public bin overflowing onto the pavement at in the business area.,trash,9.0,high,commercial,7,1,11
"Public toilet covered with pasted flyers in a public area, the markings are small but visible.",vandalism,2.5,low,public,8,2,16
"Public wall left with its notice torn down near a school, the markings are small but visible.",vandalism,2.5,low,school,8,2,17
बाटोको किनारा धेरै ठाउँबाट खस्केर व्यापारिक क्षेत्र मा खतरा भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,5.8,medium,commercial,4,3,15
Cracked pavement creating a trip hazard in the business area.,infrastructure,7.0,high,commercial,4,1,10
"Industrial drain leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1,15
Waste is collecting near the drain and blocking the water flow. The collection vehicle has not come recently.,garbage,9.0,critical,market,2,0,18
"Covered drain breeding mosquitoes since yesterday, the area has an increased disease risk.",drainage,7.5,high,residential,1,1,13
"Community drain giving off a strong smell since yesterday, nearby residents cannot open windows.",drainage,6.0,medium,residential,1,3,14
A pothole is causing buses and cars to slow down. The damaged section is affecting normal traffic.,pothole,5.5,medium,residential,5,3,17
"Roadside drain collapsed beside the road since yesterday, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,14
"Footbridge railing scraped across the surface on a residential road, the public facility is unsafe to use.",vandalism,7.0,high,residential,8,1,17
"School boundary wall damaged with permanent marker near an industrial road, damage is visible from the school gate.",vandalism,5.0,medium,industrial,8,3,18
"Junction sign covered by posters in Ghorahi, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.0,medium,industrial,6,3,15
Plastic bottles scattered near the road at the school.,trash,7.0,high,school,7,1,9
"Private cars left near an industrial gate since yesterday, large vehicles have little turning space.",illegal_parking,6.5,high,industrial,3,1,15
"Discarded food packaging is covering part of the pavement near the shopping area, along the highway shoulder.",trash,6.0,medium,highway,7,3,17
"Garbage bags torn open by dogs, on the residential lane.",domestic_trash,9.5,high,residential,0,1,10
"Rental cars parked on both sides of a narrow road after recent rain, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1,17
There are potholes on the street and motorcycles are struggling to pass. The edge of the road is also starting to break.,pothole,7.5,high,residential,5,1,22
The road has a damaged patch with a noticeable hole. The problem is becoming more noticeable each day.,pothole,8.5,high,school,5,1,18
The road has a damaged patch with a noticeable hole. It has been there for a few days.,pothole,8.0,high,residential,5,1,18
"फोहोर मैला संकलन नभएको धेरै दिन भयो, औद्योगिक क्षेत्र मा फोहोरको थुप्रो जम्मा भएको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।",trash,6.1,medium,industrial,7,3,21
Plastic bags and food waste are spread around the area. The pile is spreading across the walking area.,garbage,8.0,high,market,2,1,18
The road is uneven because of a pothole. Vehicles need to slow down at that point.,pothole,5.5,medium,hospital,5,3,16
ट्राफिक साइन बोर्ड सार्वजनिक स्थान मा बाङ्गिएर देख्न गाह्रो भएको छ। छिटो मर्मत गर्नुपर्यो।,road_damaged_sign,4.4,low,public,6,2,14
The road has a large uneven section caused by a pothole. Several motorcycles are avoiding the same spot.,pothole,7.5,high,residential,5,1,18
"Several sections of the road edge have collapsed, leaving an unsafe drop beside the main route, near the school entrance.",infrastructure,8.0,high,school,4,1,20
Public waste left beside the road at at the school entrance.,trash,2.5,low,school,7,2,11
"One-way sign fallen into a drain near a school, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.0,medium,school,6,3,17
"Bus-stop sign missing from its pole in a commercial area, people cannot identify the correct bus stop.",road_damaged_sign,4.5,medium,commercial,6,3,17
Garbage is piling up near the footpath and making it difficult to pass. The waste is close to the walking path.,garbage,9.0,critical,residential,2,0,21
"Health-post wall damaged with permanent marker near an industrial road, emergency information is partly blocked.",vandalism,8.0,high,industrial,8,1,15
"Buses parked across a school gate in Bharatpur, children are entering through traffic.",illegal_parking,8.5,high,school,3,1,13
"Ward-office gate covered with pasted flyers near a hospital, part of the public notice cannot be read.",vandalism,6.5,high,hospital,8,1,17
"Bridge-load sign hidden by branches on a residential road, drivers are stopping to check the restriction.",road_damaged_sign,4.5,medium,residential,6,3,16
The road has a damaged patch with a noticeable hole. It is not affecting the normal movement of vehicles.,pothole,2.5,low,market,5,2,19
"Open drain partly blocked by leaves, water drains slowly during rain.",drainage,4.5,medium,public,1,3,11
"Bus shelter left with its notice torn down near a market, residents have requested cleaning.",vandalism,4.5,medium,market,8,3,15
"Bus-stop sign faded and unreadable in a commercial area, people cannot identify the correct bus stop.",road_damaged_sign,4.0,low,commercial,6,2,16
"Market drain blocked on the highway after recent rain, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1,14
"Open drain leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0,14
"School-side drain blocked with plastic waste, rainwater is flooding the road.",drainage,8.0,high,residential,1,1,11
"Roadwork sign blocked by a vendor board in Dhangadhi, motorcycles are braking near the barriers.",road_damaged_sign,8.5,high,highway,6,1,15
Khana ko fohor ra plastic bato ma chhariyeko cha. Bato ra area fohor bhairako cha.,garbage,6.5,high,market,2,1,15
"Taxis parked across a school gate in Janakpur since yesterday, children are entering through traffic.",illegal_parking,7.5,high,school,3,1,15
"Cars blocking a residential driveway, residents cannot move their vehicles.",illegal_parking,5.5,medium,residential,3,3,10
"Uncollected household waste is producing a bad smell and causing complaints from nearby residents, beside nearby shops.",domestic_trash,7.0,high,commercial,0,1,17
"Junction sign blocked by a vendor board near an industrial road, vehicles are entering from conflicting directions.",road_damaged_sign,9.0,critical,industrial,6,0,17
"The highway shoulder is badly damaged and contains loose concrete pieces that could affect traffic, beside the school boundary.",infrastructure,3.5,low,school,4,2,19
There is a pothole where water collects after rain. Only a small part of the road is affected.,pothole,3.5,low,hospital,5,2,18
"Waste enclosure covered with political slogans near a market, the markings are small but visible.",vandalism,3.5,low,market,8,2,15
"Roadwork sign knocked down on a highway, drivers cannot confirm the speed restriction.",road_damaged_sign,5.5,medium,highway,6,3,13
"School-zone sign faded and unreadable on a highway, pedestrians cannot find the crossing point.",road_damaged_sign,7.0,high,highway,6,1,14
"Public notice board left with its notice torn down in a commercial area, part of the public notice cannot be read.",vandalism,5.5,medium,commercial,8,3,21
"Highway drain damaged near a commercial area, wastewater is spreading on the footpath.",drainage,7.5,high,commercial,1,1,13
"Delivery vans parked on both sides of a narrow road in Butwal since yesterday, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1,18
"No-entry sign bent away from traffic near a hospital, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.5,high,hospital,6,1,17
The road has started breaking around the pothole. People are asking for the road to be repaired.,pothole,7.0,high,school,5,1,17
Plastic bottles scattered near the road on the public walkway.,trash,7.0,high,public,7,1,10
A pothole is causing buses and cars to slow down. Drivers have to brake suddenly when they notice it.,pothole,7.5,high,residential,5,1,19
"Public gutter collapsed beside the road since yesterday, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,14
A pothole is making vehicles move to the other side of the road. Buses are slowing down near the damaged section.,pothole,8.5,high,school,5,1,21
"Hospital direction sign fallen into a drain near a school, patients are taking wrong turns.",road_damaged_sign,7.0,high,school,6,1,15
There is waste scattered near the roadside and it needs to be collected. The waste is creating a serious problem for people using the area.,garbage,7.0,high,residential,2,1,25
"Motorcycles left over a zebra crossing since yesterday, pedestrians are walking into traffic.",illegal_parking,8.0,high,public,3,1,13
"Public water tap defaced with large drawings in a public area, the public facility is unsafe to use.",vandalism,6.5,high,public,8,1,18
There is a pothole where water collects after rain. Several motorcycles are avoiding the same spot.,pothole,3.5,low,market,5,2,16
Garbage is collecting near houses and the smell is getting worse. The waste is close to a drain and is affecting water flow.,garbage,7.5,high,hospital,2,1,23
The road has a damaged patch with a noticeable hole. The damaged section is making the road difficult to cross safely.,pothole,9.5,critical,residential,5,0,21
"Pickup vehicles left near an industrial gate in Nepalgunj since yesterday, large vehicles have little turning space.",illegal_parking,6.0,medium,industrial,3,3,17
Food waste is scattered around because dogs are tearing the bags. Rain is washing some of the waste onto the road.,garbage,9.5,critical,market,2,0,21
"Cars blocking a hospital entrance since yesterday, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,10
There is a hole near the edge of the road where motorcycles pass. It is a small hole and vehicles can still pass normally.,pothole,3.0,low,school,5,2,24
Loose paving blocks near the entrance outside houses.,infrastructure,3.5,low,residential,4,2,8
Mixed rubbish has accumulated around the waste collection point near the busy commercial area near nearby homes.,trash,9.5,high,residential,7,1,17
The roadside drain has collapsed and left a deep open gap beside the pedestrian route along the public walkway.,infrastructure,8.5,high,public,4,1,19
The pothole is making it uncomfortable for people riding motorcycles. The hole is on a route used frequently by emergency vehicles.,pothole,9.0,critical,residential,5,0,21
There is food waste on the street and stray dogs are spreading it. The waste is making the area unpleasant.,garbage,6.5,high,market,2,1,20
"Pothole on the hospital road, ambulance drivers struggling to pass, delaying emergency care",pothole,9.5,critical,hospital,5,0,13
"Plastic wrappers, cans, and food containers are scattered along the public walkway, near the shopping area.",trash,7.0,high,commercial,7,1,16
"Public bin overflowing onto the pavement, at the hospital entrance.",trash,6.5,medium,hospital,7,3,10
"Park signboard defaced with large drawings near a school, part of the public notice cannot be read.",vandalism,6.5,high,school,8,1,17
"Roadside drain leaking near a hospital, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0,12
The pothole is making it uncomfortable for people riding motorcycles. It has been there for a few days.,pothole,5.5,medium,school,5,3,18
"Construction vehicles parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.5,high,school,3,1,14
Trash bags scattered on the street beside the school.,domestic_trash,3.0,low,school,0,2,9
"Private cars blocking a hospital entrance after recent rain, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,12
"Trucks blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,6.0,medium,market,3,3,13
"Road divider covered with illegal advertising on a highway, the public facility is unsafe to use.",vandalism,7.5,high,highway,8,1,16
Plastic bags and food waste are spread around the area. People are having to walk around the garbage.,garbage,5.5,medium,school,2,3,18
"Food containers scattered near the shops, on the public walkway.",trash,9.5,high,public,7,1,10
The public bin is full and people are putting bags beside it. It has been there since yesterday.,garbage,6.5,high,hospital,2,1,18
"Storm-water drain overflowing near a school after recent rain, children are walking through dirty water.",drainage,8.0,high,school,1,1,15
Household waste has been left outside for several days. The waste is mixed with unsafe material and people are coming close to it.,garbage,9.5,critical,school,2,0,23
"Plastic bottles scattered near the road, in the business area.",trash,3.5,low,commercial,7,2,10
A pothole has appeared after the recent rain. People walking nearby have to be careful.,pothole,7.5,high,market,5,1,15
The road needs repair because of a pothole. The broken area is getting wider.,pothole,2.5,low,market,5,2,14
Garbage has been left in an open place and is spreading around. The waste is close to a drain and is affecting water flow.,garbage,8.0,high,hospital,2,1,24
The garbage bin is full and waste is falling onto the ground. The waste is visible from the nearby road.,garbage,9.0,critical,hospital,2,0,20
A damaged road surface has developed deep potholes that are difficult for vehicles to avoid along the hospital access road.,infrastructure,8.5,high,hospital,4,1,20
फोहोरको बोरा च्यातिएर अस्पताल को बाटोभरि छरिएको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,trash,8.9,critical,hospital,7,0,14
"Public gutter collapsed beside the road after recent rain, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,15
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists along the hospital access road.",infrastructure,4.5,medium,hospital,4,3,20
"Pedestrian-crossing sign covered by posters near an industrial road, vehicles are braking when people enter the road.",road_damaged_sign,7.5,high,industrial,6,1,17
The roadside drain has collapsed and left a deep open gap beside the pedestrian route along the industrial access road.,infrastructure,9.0,high,industrial,4,1,20
"School boundary wall left with broken tiles near an industrial road, the school safety notice is unreadable.",vandalism,7.0,high,industrial,8,1,17
There is rubbish around the road and it needs cleaning. The waste is close to the walking path.,garbage,7.5,high,hospital,2,1,18
The waste collection has not come for a few days. Dogs are opening the bags and spreading the waste.,garbage,9.0,critical,market,2,0,19
People are leaving garbage beside the road instead of in the bin. People are having to walk around the garbage.,garbage,2.5,low,market,2,2,20
"Roadside drain blocked on the highway since yesterday, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1,13
"Cargo vans parked at a busy junction, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0,12
"Buses parked at a busy junction, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0,11
"Market drain collapsed beside the road since yesterday, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,14
"Bato ko surface futeko cha, gadi hallaera jancha. Gadi haru lai problem bhairako cha.",pothole,5.5,medium,hospital,5,3,14
"Minibuses blocking a public bus stop in Lalitpur, buses are stopping in the traffic lane.",illegal_parking,7.0,high,commercial,3,1,15
"Pedestrian underpass covered with illegal advertising on a residential road, the markings are small but visible.",vandalism,3.0,low,residential,8,2,16
There is food waste on the street and stray dogs are spreading it. Flies are gathering around the waste.,garbage,7.0,high,school,2,1,19
"Bus-stop sign covered by posters in Biratnagar, people cannot identify the correct bus stop.",road_damaged_sign,4.5,medium,commercial,6,3,14
"Loose litter is spreading around an overflowing bin and making the public area difficult to keep clean, along the public walkway.",trash,5.5,medium,public,7,3,21
There is rubbish around the road and it needs cleaning. The waste is making the area unpleasant.,garbage,7.0,high,market,2,1,17
"Health-post wall left with official lettering blacked out near an industrial road, emergency information is partly blocked.",vandalism,7.5,high,industrial,8,1,17
"Bato ma dherai pothole chan, repair garnu paryo. Yaha bata hidna garo bhako cha.",pothole,7.0,high,hospital,5,1,14
The road has started breaking around the pothole. The hole is causing dangerous movement for vehicles and pedestrians.,pothole,9.5,critical,market,5,0,18
"Public bin overflowing onto the pavement, beside the hospital.",trash,9.5,high,hospital,7,1,9
"Delivery vans parked at a busy junction after recent rain, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1,15
"Several households have placed overflowing rubbish bags along the roadside, narrowing the pedestrian path along the commercial street.",domestic_trash,4.5,medium,commercial,0,3,18
फोहोर राख्ने ठाउँ नभएकोले मानिसहरूले औद्योगिक क्षेत्र मा नै फोहोर फाल्ने गर्छन्। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,4.9,medium,industrial,0,3,17
"Household trash bags are scattered across the residential street after being torn open by stray dogs, near the hospital entrance.",domestic_trash,8.0,high,hospital,0,1,20
वर्षापछि अस्पताल को नाला भरि पानी भरिएर बाटोमा फैलिएको छ। नाला सफा गर्नुपर्यो।,drainage,9.4,critical,hospital,1,0,13
Household waste has been left outside for several days. The smell is starting to bother people nearby.,garbage,5.0,medium,hospital,2,3,17
"Public gutter covered by construction debris after recent rain, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3,14
"Cars left near an industrial gate since yesterday, large vehicles have little turning space.",illegal_parking,7.0,high,industrial,3,1,14
"Hospital direction sign blocked by a vendor board near a school, ambulances are missing the correct access road.",road_damaged_sign,8.0,high,school,6,1,18
सिग्नल बोर्ड विद्यालय मा पुरानो भएर मानिसहरूले देख्न सक्दैनन्। मानिसहरूलाई धेरै खतरा भएको छ।,road_damaged_sign,8.9,critical,school,6,0,14
"Bus shelter left with its notice torn down near a market, the markings are small but visible.",vandalism,3.5,low,market,8,2,17
People are throwing waste in the open area and the pile is getting bigger. Stray animals are spreading the waste around the street.,garbage,8.0,high,residential,2,1,23
Rubbish has been dumped near the hospital access road and is obstructing part of the walkway.,trash,3.5,low,public,7,2,16
"Cars parked at a busy junction, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1,11
There is a pothole on the road and vehicles have to slow down. The problem is becoming more noticeable each day.,pothole,9.0,critical,market,5,0,21
"Discarded food packaging is covering part of the pavement near the shopping area, along the student walkway.",trash,6.0,medium,school,7,3,17
"Landslide warning sign fallen into a drain near a market, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,market,6,1,14
"Wind has scattered plastic waste and paper across the area around an overflowing public bin, along the public walkway.",trash,5.0,medium,public,7,3,19
Household trash bags are scattered across the residential street after being torn open by stray dogs along the hospital access road.,domestic_trash,6.0,medium,hospital,0,3,21
"Road divider left with broken tiles on a highway, the damage may worsen without repair.",vandalism,4.5,medium,highway,8,3,15
Household rubbish blocking the pavement at the public walkway.,domestic_trash,3.0,low,public,0,2,9
A streetlight pole has been damaged and is leaning toward the pedestrian walkway beside the highway access route.,infrastructure,7.0,high,highway,4,1,18
"Plastic bags and disposable containers are scattered around the school boundary after the bin overflowed, beside the public access route.",trash,4.0,medium,public,7,3,20
"भित्तामा अभद्र शब्दहरू औद्योगिक क्षेत्र मा लेखिएको छ, बच्चाहरूले देख्छन्। छिटो सफा गर्नुपर्यो।",vandalism,5.7,medium,industrial,8,3,13
"Buses parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1,14
Several holes are visible on the road surface. The damaged area is noticeable to regular road users.,pothole,5.5,medium,residential,5,3,17
A pothole has appeared after the recent rain. It is causing vehicles to shake while crossing.,pothole,6.5,high,school,5,1,16
"Pickup vehicles parked at a busy junction in Nepalgunj after recent rain, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0,17
"Cracked pavement creating a trip hazard, near the hospital.",infrastructure,4.0,medium,hospital,4,3,9
"Government vehicles parked on both sides of a narrow road since yesterday, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0,16
A large pile of rubbish has been left beside the roadside near a frequently used pedestrian route beside nearby shops.,trash,5.5,medium,commercial,7,3,20
Loose manhole cover creating a hazard on the market street.,infrastructure,3.5,low,commercial,4,2,10
"Market drain filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.0,high,market,1,1,14
"Household waste has been left beside the road for several days and is attracting insects and stray animals, outside several houses.",domestic_trash,4.0,medium,residential,0,3,21
"Microbuses left over a zebra crossing in Dhangadhi, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1,13
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists, beside the school boundary.",infrastructure,7.5,high,school,4,1,19
The waste area is attracting flies and has a strong smell. Children are passing through the area every day.,garbage,9.0,critical,hospital,2,0,19
"Waste enclosure left with its notice torn down near a market, residents have requested cleaning.",vandalism,4.0,low,market,8,2,15
"Cargo vans parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,8.0,high,highway,3,1,13
"Stop sign bent away from traffic on a residential road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,residential,6,1,18
Food waste is scattered around because dogs are tearing the bags. The collection vehicle has not come recently.,garbage,8.5,high,school,2,1,18
"Main sewer line filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.5,high,market,1,1,15
"Parking restriction sign turned toward the wrong road near a hospital, parked vehicles are narrowing the road.",road_damaged_sign,6.0,medium,hospital,6,3,17
"Several bags of household rubbish are blocking part of the footpath outside a row of homes, beside the public access route.",domestic_trash,3.0,low,public,0,2,21
"School-side drain covered by construction debris, water cannot reach the outlet.",drainage,6.5,high,industrial,1,1,11
"Footbridge railing left with its notice torn down on a residential road, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,residential,8,1,18
The road needs repair because of a pothole. Cars are moving around it to avoid the hole.,pothole,8.5,high,residential,5,1,17
An overflowing public bin has caused plastic bottles and food containers to spill onto the pavement beside the highway access route.,trash,5.5,medium,highway,7,3,21
People are leaving garbage beside the road instead of in the bin. The garbage is increasing day by day.,garbage,9.5,critical,school,2,0,19
"Cargo vans parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1,15
"Several households have placed overflowing rubbish bags along the roadside, narrowing the pedestrian path, outside several houses.",domestic_trash,5.0,medium,residential,0,3,17
"Public toilet scraped across the surface in a public area, residents have requested cleaning.",vandalism,3.5,low,public,8,2,14
"Small garbage bag left on the corner, not bothering anyone, just needs regular collection",garbage,2.5,low,residential,2,2,14
"Microbuses parked on both sides of a narrow road since yesterday, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1,15
"Industrial drain overflowing with sewage, residents face a serious health risk.",drainage,9.0,critical,residential,1,0,11
"Pedestrian-crossing sign cracked with a loose edge near an industrial road, children are crossing without warning.",road_damaged_sign,8.0,high,industrial,6,1,16
"Tourist vans parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,8.5,high,highway,3,1,13
Broken barrier blocking part of the road at the highway shoulder.,infrastructure,3.5,low,highway,4,2,11
"Market drain covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3,13
Domestic waste has been dumped beside the residential lane instead of being placed at the collection point.,domestic_trash,2.5,low,public,0,2,17
A pothole has appeared after the recent rain. Motorcycles are slowing down at that point.,pothole,3.5,low,hospital,5,2,15
Garbage is collecting near houses and the smell is getting worse. The garbage is increasing day by day.,garbage,9.0,critical,hospital,2,0,18
"Community hall marked with offensive words in a commercial area, the same place was damaged repeatedly.",vandalism,6.5,high,commercial,8,1,16
The waste collection has not come for a few days. It has been there since yesterday.,garbage,8.5,high,residential,2,1,16
The road has a large uneven section caused by a pothole. Rainwater is collecting in the hole.,pothole,7.5,high,residential,5,1,17
"Temple wall covered with political slogans on a highway, visitors have complained about disrespect.",vandalism,6.5,high,highway,8,1,14
