description,category,urgency_score,urgency_level,location_type,category_label,urgency_label
Household rubbish blocking the pavement at the public walkway.,domestic_trash,3.0,low,public,0,2
A streetlight pole has been damaged and is leaning toward the pedestrian walkway beside the highway access route.,infrastructure,7.0,high,highway,4,1
"Plastic bags and disposable containers are scattered around the school boundary after the bin overflowed, beside the public access route.",trash,4.0,medium,public,7,3
"भित्तामा अभद्र शब्दहरू औद्योगिक क्षेत्र मा लेखिएको छ, बच्चाहरूले देख्छन्। छिटो सफा गर्नुपर्यो।",vandalism,5.7,medium,industrial,8,3
"Buses parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1
Several holes are visible on the road surface. The damaged area is noticeable to regular road users.,pothole,5.5,medium,residential,5,3
A pothole has appeared after the recent rain. It is causing vehicles to shake while crossing.,pothole,6.5,high,school,5,1
"Pickup vehicles parked at a busy junction in Nepalgunj after recent rain, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0
"Cracked pavement creating a trip hazard, near the hospital.",infrastructure,4.0,medium,hospital,4,3
"Government vehicles parked on both sides of a narrow road since yesterday, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0
A large pile of rubbish has been left beside the roadside near a frequently used pedestrian route beside nearby shops.,trash,5.5,medium,commercial,7,3
Loose manhole cover creating a hazard on the market street.,infrastructure,3.5,low,commercial,4,2
"Market drain filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.0,high,market,1,1
"Household waste has been left beside the road for several days and is attracting insects and stray animals, outside several houses.",domestic_trash,4.0,medium,residential,0,3
"Microbuses left over a zebra crossing in Dhangadhi, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists, beside the school boundary.",infrastructure,7.5,high,school,4,1
The waste area is attracting flies and has a strong smell. Children are passing through the area every day.,garbage,9.0,critical,hospital,2,0
"Waste enclosure left with its notice torn down near a market, residents have requested cleaning.",vandalism,4.0,low,market,8,2
"Cargo vans parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,8.0,high,highway,3,1
"Stop sign bent away from traffic on a residential road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,residential,6,1
Food waste is scattered around because dogs are tearing the bags. The collection vehicle has not come recently.,garbage,8.5,high,school,2,1
"Main sewer line filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.5,high,market,1,1
"Parking restriction sign turned toward the wrong road near a hospital, parked vehicles are narrowing the road.",road_damaged_sign,6.0,medium,hospital,6,3
"Several bags of household rubbish are blocking part of the footpath outside a row of homes, beside the public access route.",domestic_trash,3.0,low,public,0,2
"School-side drain covered by construction debris, water cannot reach the outlet.",drainage,6.5,high,industrial,1,1
"Footbridge railing left with its notice torn down on a residential road, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,residential,8,1
The road needs repair because of a pothole. Cars are moving around it to avoid the hole.,pothole,8.5,high,residential,5,1
An overflowing public bin has caused plastic bottles and food containers to spill onto the pavement beside the highway access route.,trash,5.5,medium,highway,7,3
People are leaving garbage beside the road instead of in the bin. The garbage is increasing day by day.,garbage,9.5,critical,school,2,0
"Cargo vans parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1
"Several households have placed overflowing rubbish bags along the roadside, narrowing the pedestrian path, outside several houses.",domestic_trash,5.0,medium,residential,0,3
"Public toilet scraped across the surface in a public area, residents have requested cleaning.",vandalism,3.5,low,public,8,2
"Small garbage bag left on the corner, not bothering anyone, just needs regular collection",garbage,2.5,low,residential,2,2
"Microbuses parked on both sides of a narrow road since yesterday, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1
"Industrial drain overflowing with sewage, residents face a serious health risk.",drainage,9.0,critical,residential,1,0
"Pedestrian-crossing sign cracked with a loose edge near an industrial road, children are crossing without warning.",road_damaged_sign,8.0,high,industrial,6,1
"Tourist vans parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,8.5,high,highway,3,1
Broken barrier blocking part of the road at the highway shoulder.,infrastructure,3.5,low,highway,4,2
"Market drain covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3
Domestic waste has been dumped beside the residential lane instead of being placed at the collection point.,domestic_trash,2.5,low,public,0,2
A pothole has appeared after the recent rain. Motorcycles are slowing down at that point.,pothole,3.5,low,hospital,5,2
Garbage is collecting near houses and the smell is getting worse. The garbage is increasing day by day.,garbage,9.0,critical,hospital,2,0
"Community hall marked with offensive words in a commercial area, the same place was damaged repeatedly.",vandalism,6.5,high,commercial,8,1
The waste collection has not come for a few days. It has been there since yesterday.,garbage,8.5,high,residential,2,1
The road has a large uneven section caused by a pothole. Rainwater is collecting in the hole.,pothole,7.5,high,residential,5,1
"Temple wall covered with political slogans on a highway, visitors have complained about disrespect.",vandalism,6.5,high,highway,8,1
"Pedestrian-crossing sign faded and unreadable in Butwal, vehicles are braking when people enter the road.",road_damaged_sign,7.0,high,industrial,6,1
सडक संकेत सार्वजनिक स्थान को चोकमा भत्किएर दुर्घटनाको डर भएको छ। सरकारले चाँडै हेर्नुपर्यो।,road_damaged_sign,4.2,low,public,6,2
"Ward-office gate covered with illegal advertising near a hospital, part of the public notice cannot be read.",vandalism,6.0,medium,hospital,8,3
"Government vehicles parked fully on the footpath in Birgunj, pedestrians are forced onto the road.",illegal_parking,8.0,high,residential,3,1
The public bin is full and people are putting bags beside it. There are food leftovers mixed with plastic.,garbage,3.5,low,school,2,2
"Public toilet covered with spray-painted tags in a public area, the markings are small but visible.",vandalism,3.0,low,public,8,2
Waste is collecting near the drain and blocking the water flow. Residents are asking for the waste to be picked up.,garbage,3.0,low,hospital,2,2
Wind has scattered plastic waste and paper across the area around an overflowing public bin.,trash,8.0,high,school,7,1
Dherai din dekhi fohor uthako chaina. Manche haru lai dherai problem bhako cha.,garbage,9.5,critical,hospital,2,0
"Delivery vans parked across a school gate, children are entering through traffic.",illegal_parking,8.0,high,school,3,1
There are potholes on the street and motorcycles are struggling to pass. Only a small part of the road is affected.,pothole,2.5,low,residential,5,2
"Park signboard covered with illegal advertising near a school, visitors are using the wrong entrance.",vandalism,6.0,medium,school,8,3
There is a pile of household waste beside the road. The waste is creating a serious problem for people using the area.,garbage,7.0,high,hospital,2,1
There is waste scattered near the roadside and it needs to be collected. Residents are asking for the waste to be picked up.,garbage,9.5,critical,market,2,0
Deep potholes damaging the road surface at the school entrance.,infrastructure,6.5,medium,school,4,3
"Hospital access drain leaking near a hospital, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1
The waste collection has not come for a few days. The smell is strong and many people are complaining.,garbage,7.0,high,market,2,1
"Government vehicles left beside a no-parking sign, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3
"Public wall marked with offensive words near a school, the markings are small but visible.",vandalism,3.0,low,school,8,2
The garbage container is overflowing and waste is on the road. It has been there since yesterday.,garbage,9.5,critical,school,2,0
"Household rubbish blocking the pavement, at the hospital entrance.",domestic_trash,4.0,medium,hospital,0,3
कुकुरले घरको फोहोरको बोरा च्यातेर व्यापारिक क्षेत्र भरि फोहोर गरेको छ। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,6.9,medium,commercial,0,3
"Health-post wall covered with illegal advertising near an industrial road, emergency information is partly blocked.",vandalism,7.5,high,industrial,8,1
Food waste dumped beside the road near homes.,domestic_trash,6.5,medium,residential,0,3
Collapsed drain leaving an open gap near the school.,infrastructure,9.5,high,school,4,1
The road surface has broken away and left a hole. The edge of the road is also starting to break.,pothole,7.5,high,school,5,1
"A broken curb has created a large gap that forces pedestrians to step closer to moving traffic, along the public walkway.",infrastructure,5.5,medium,public,4,3
"One-way sign covered by posters near a school, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.0,medium,school,6,3
Food waste is scattered around because dogs are tearing the bags. Residents are asking for the waste to be picked up.,garbage,7.5,high,school,2,1
"Public water tap left with official lettering blacked out in a public area, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,public,8,1
"Bus shelter covered with spray-painted tags near a market, the same place was damaged repeatedly.",vandalism,6.5,high,market,8,1
"Cars blocking a public bus stop since yesterday, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
"Delivery vans parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1
Broken barrier blocking part of the road near homes.,infrastructure,8.5,high,residential,4,1
There is a pothole where water collects after rain. Drivers are starting to avoid the spot.,pothole,5.0,medium,hospital,5,3
"Junction sign bent away from traffic near an industrial road, vehicles are entering from conflicting directions.",road_damaged_sign,9.0,critical,industrial,6,0
"Footbridge railing left with its notice torn down on a residential road, the public facility is unsafe to use.",vandalism,7.5,high,residential,8,1
Household garbage has accumulated near the entrance of several houses and is becoming difficult to manage beside the highway access route.,domestic_trash,7.5,high,highway,0,1
आवासीय क्षेत्र को भित्तामा स्प्रे पेन्टले बिगारिएको छ। सरकारले चाँडै हेर्नुपर्यो।,vandalism,7.4,high,residential,8,1
A broken curb has created a large gap that forces pedestrians to step closer to moving traffic along the student walkway.,infrastructure,9.5,high,school,4,1
"Waste enclosure badly scratched near a market, the same place was damaged repeatedly.",vandalism,5.5,medium,market,8,3
"Open drain collapsed beside the road, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0
"Landslide warning sign hanging from one bolt near a market, motorcycles are braking suddenly.",road_damaged_sign,7.5,high,market,6,1
"Footpath drain leaking near a hospital, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1
"Government vehicles left near an industrial gate since yesterday, large vehicles have little turning space.",illegal_parking,6.5,high,industrial,3,1
Domestic waste is overflowing from a collection area and spreading into the nearby residential road along the highway shoulder.,domestic_trash,8.0,high,highway,0,1
गाडीहरू औद्योगिक क्षेत्र को दुबै साइडमा गैरकानूनी पार्किङ गरेका छन्। छिटो कारबाही गर्नुपर्यो।,illegal_parking,4.3,medium,industrial,3,3
"Uncollected household waste is producing a bad smell and causing complaints from nearby residents, near the hospital entrance.",domestic_trash,7.0,high,hospital,0,1
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists along the highway shoulder.",infrastructure,8.0,high,highway,4,1
"Trash bags scattered on the street, at the school entrance.",domestic_trash,4.5,medium,school,0,3
The road surface has broken away and left a hole. The problem is becoming more noticeable each day.,pothole,5.5,medium,market,5,3
Household waste has been left outside for several days. People are having to walk around the garbage.,garbage,3.5,low,residential,2,2
Collapsed drain leaving an open gap at the factory.,infrastructure,5.5,medium,industrial,4,3
A section of concrete near the hospital entrance has broken apart and is obstructing pedestrian access along the industrial access road.,infrastructure,3.5,low,industrial,4,2
Several holes are visible on the road surface. People walking nearby have to be careful.,pothole,3.5,low,residential,5,2
"Parking restriction sign hidden by branches near a hospital, drivers cannot identify the restricted section.",road_damaged_sign,5.5,medium,hospital,6,3
"Animal-crossing sign knocked down in a public area, drivers are not warned about livestock.",road_damaged_sign,8.0,high,public,6,1
Plastic bottles scattered near the road on the public road.,trash,5.0,medium,public,7,3
There is a hole near the edge of the road where motorcycles pass. The road surface around it is also damaged.,pothole,9.0,critical,hospital,5,0
"A large crack has developed across the concrete pavement, creating a serious trip hazard for pedestrians near the school entrance.",infrastructure,7.0,high,school,4,1
"Microbuses blocking a market loading area, deliveries and shoppers are delayed.",illegal_parking,6.0,medium,market,3,3
There is a pothole where water collects after rain. Vehicles need to slow down at that point.,pothole,5.5,medium,residential,5,3
कुकुरले घरको फोहोरको बोरा च्यातेर अस्पताल भरि फोहोर गरेको छ। फोहोर चाँडै उठाउनुपर्यो।,domestic_trash,9.0,critical,hospital,0,0
"Garbage bags torn open by dogs, beside the school.",domestic_trash,4.0,medium,school,0,3
"Temple wall marked with offensive words on a highway, special cleaning is required.",vandalism,6.0,medium,highway,8,3
There is rubbish around the road and it needs cleaning. The area becomes dirty after the waste is left outside.,garbage,7.5,high,school,2,1
सडकको सतह भत्किएर आवासीय क्षेत्र मा गाडी चलाउन गाह्रो भएको छ। सरकारले चाँडै हेर्नुपर्यो।,infrastructure,6.1,high,residential,4,1
"Public toilet covered with political slogans in a public area, residents have requested cleaning.",vandalism,4.5,medium,public,8,3
"Deep potholes damaging the road surface, beside the school.",infrastructure,5.5,medium,school,4,3
"Food waste dumped beside the road, near the factory.",domestic_trash,8.0,high,industrial,0,1
"Roadwork sign hidden by branches in Dhangadhi, drivers cannot confirm the speed restriction.",road_damaged_sign,6.0,medium,highway,6,3
"Rental cars left near an industrial gate, large vehicles have little turning space.",illegal_parking,7.0,high,industrial,3,1
"No-entry sign bent away from traffic near a hospital, traffic slows while drivers confirm the route.",road_damaged_sign,4.0,low,hospital,6,2
The waste area is attracting flies and has a strong smell. The garbage is increasing day by day.,garbage,7.0,high,school,2,1
"Footbridge railing left with official lettering blacked out on a residential road, the public facility is unsafe to use.",vandalism,6.5,high,residential,8,1
People are leaving garbage beside the road instead of in the bin. The pile is spreading across the walking area.,garbage,7.5,high,school,2,1
"Health-post wall covered with illegal advertising near an industrial road, visitors cannot identify the correct entrance.",vandalism,6.5,high,industrial,8,1
"Household rubbish blocking the pavement, on the public road.",domestic_trash,3.5,low,public,0,2
"Culvert leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1
Garbage bags torn open by dogs at the warehouse.,domestic_trash,6.5,medium,industrial,0,3
"Garbage bags torn open by dogs, on the industrial road.",domestic_trash,2.5,low,industrial,0,2
"Roadwork sign covered by posters on a highway, vehicles are entering the work area too fast.",road_damaged_sign,8.5,high,highway,6,1
"Culvert overflowing near a school after recent rain, children are walking through dirty water.",drainage,8.5,high,school,1,1
A pothole is causing buses and cars to slow down. The broken area is getting wider.,pothole,9.5,critical,hospital,5,0
"Waste enclosure marked with offensive words near a market, the markings are small but visible.",vandalism,3.5,low,market,8,2
A hole has formed in the road and it is difficult for vehicles to pass. The broken area is getting wider.,pothole,9.5,critical,market,5,0
"Pothole on the market road, damaging delivery vehicles daily, shop owners losing business",pothole,8.0,high,market,5,1
Discarded food packaging is covering part of the pavement near the shopping area along the hospital access road.,trash,9.0,high,hospital,7,1
"Animal-crossing sign cracked with a loose edge in a public area, visitors cannot identify the crossing area.",road_damaged_sign,5.5,medium,public,6,3
There is a pile of household waste beside the road. Flies are gathering around the waste.,garbage,3.5,low,hospital,2,2
"Hospital access drain collapsed beside the road, pedestrians could fall into the opening.",drainage,8.5,high,public,1,1
Dherai din dekhi fohor uthako chaina. Yesto fohor uthauna paryo.,garbage,8.0,high,residential,2,1
"Waste enclosure marked with offensive words near a market, residents have requested cleaning.",vandalism,4.5,medium,market,8,3
The street is dirty because garbage has not been collected. People are having to walk around the garbage.,garbage,5.5,medium,school,2,3
"Collapsed drain leaving an open gap, beside the hospital.",infrastructure,6.5,medium,hospital,4,3
Several types of litter have accumulated near the market entrance and are creating a sanitation concern near the community area.,trash,7.5,high,public,7,1
There is a pothole where water collects after rain. Water collects inside the hole after rain.,pothole,9.5,critical,market,5,0
Mixed rubbish has accumulated around the waste collection point near the busy commercial area beside nearby shops.,trash,4.0,medium,commercial,7,3
The road needs repair because of a pothole. Several motorcycles are avoiding the same spot.,pothole,9.0,critical,school,5,0
"Storm-water drain partly blocked by leaves, water drains slowly during rain.",drainage,5.0,medium,public,1,3
"Highway drain overflowing with sewage since yesterday, residents face a serious health risk.",drainage,9.5,critical,residential,1,0
"Delivery vans left over a zebra crossing in Butwal after recent rain, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1
"Delivery vans blocking a hospital entrance in Butwal, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0
"Footbridge railing covered with illegal advertising on a residential road, sharp parts are exposed beside pedestrians.",vandalism,8.0,high,residential,8,1
"Bridge-load sign covered by posters in Hetauda, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.0,critical,residential,6,0
A pothole is getting larger after rain. It is on a road used by many people.,pothole,9.0,critical,residential,5,0
"One-way sign cracked with a loose edge in Janakpur, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,school,6,1
A section of concrete near the hospital entrance has broken apart and is obstructing pedestrian access near the main road junction.,infrastructure,3.5,low,highway,4,2
The garbage pickup has been irregular and waste is staying outside. The smell is strong and many people are complaining.,garbage,7.5,high,market,2,1
"Cargo vans blocking a market loading area in Dharan since yesterday, deliveries and shoppers are delayed.",illegal_parking,6.5,high,market,3,1
"Pedestrian underpass covered with illegal advertising on a residential road, the same place was damaged repeatedly.",vandalism,6.0,medium,residential,8,3
"Landslide warning sign faded and unreadable in Nepalgunj, night drivers cannot see the hazard.",road_damaged_sign,8.5,high,market,6,1
"Taxis blocking a hospital entrance after recent rain, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0
There are potholes on the street and motorcycles are struggling to pass. The hole is making the road uncomfortable to use.,pothole,7.5,high,hospital,5,1
"School buses left beside a no-parking sign in Biratnagar after recent rain, traffic is moving slowly.",illegal_parking,5.5,medium,commercial,3,3
A pothole is causing buses and cars to slow down. Motorcycles are at risk of losing balance near the hole.,pothole,7.0,high,school,5,1
"Footpath drain overflowing with sewage since yesterday, residents face a serious health risk.",drainage,9.0,critical,residential,1,0
"Industrial drain blocked with plastic waste, rainwater is flooding the road.",drainage,8.5,high,residential,1,1
"Speed-limit sign cracked with a loose edge in a commercial area, vehicles are entering the work area too fast.",road_damaged_sign,8.5,high,commercial,6,1
"Waste enclosure left with broken tiles near a market, the markings are small but visible.",vandalism,3.0,low,market,8,2
Waste is blocking part of the footpath. The collection has been missed repeatedly and the pile is growing.,garbage,7.0,high,residential,2,1
"Main sewer line collapsed beside the road after recent rain, pedestrians could fall into the opening.",drainage,8.0,high,public,1,1
"Bus-stop sign turned toward the wrong road in a commercial area, passengers are stepping into moving traffic.",road_damaged_sign,8.0,high,commercial,6,1
"Rental cars left over a zebra crossing, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1
"Health-post wall covered with pasted flyers near an industrial road, patients cannot read the service details.",vandalism,6.5,high,industrial,8,1
"Ward-office gate left with its notice torn down near a hospital, part of the public notice cannot be read.",vandalism,5.5,medium,hospital,8,3
"Minibuses blocking a hospital entrance after recent rain, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0
There is a pothole on the road and vehicles have to slow down. Buses are slowing down near the damaged section.,pothole,7.5,high,market,5,1
नाला आवासीय क्षेत्र मा प्लास्टिकले अवरुद्ध भएर पानी ओभरफ्लो भइरहेको छ। सरकारले चाँडै हेर्नुपर्यो।,drainage,6.8,high,residential,1,1
"School-zone sign blocked by a vendor board on a highway, pedestrians cannot find the crossing point.",road_damaged_sign,6.5,high,highway,6,1
The road needs repair because of a pothole. It is on a road used by many people.,pothole,6.5,high,school,5,1
"Health-post wall badly scratched near an industrial road, patients cannot read the service details.",vandalism,6.5,high,industrial,8,1
"Discarded household waste is scattered around the neighborhood and creating a visible sanitation problem, near the shopping area.",domestic_trash,9.0,high,commercial,0,1
People are throwing waste in the open area and the pile is getting bigger. The waste is causing water to overflow around the road.,garbage,9.5,critical,school,2,0
"Animal-crossing sign covered by posters in a public area, vehicles are swerving to avoid animals.",road_damaged_sign,7.5,high,public,6,1
"Health-post wall covered with political slogans near an industrial road, visitors cannot identify the correct entrance.",vandalism,6.5,high,industrial,8,1
"Animal-crossing sign blocked by a vendor board in Birgunj, drivers are not warned about livestock.",road_damaged_sign,7.5,high,public,6,1
"Discarded household waste is scattered around the neighborhood and creating a visible sanitation problem, beside the highway access route.",domestic_trash,9.0,high,highway,0,1
"Tourist vans left near an industrial gate since yesterday, large vehicles have little turning space.",illegal_parking,6.5,high,industrial,3,1
"Microbuses parked fully on the footpath, pedestrians are forced onto the road.",illegal_parking,7.0,high,residential,3,1
Domestic rubbish has overflowed from bags and spread onto the pavement near nearby houses beside nearby shops.,domestic_trash,7.0,high,commercial,0,1
A waste collection point is overflowing and loose rubbish is spreading into the nearby road along the neighborhood road.,trash,6.5,medium,residential,7,3
"Temple wall marked with offensive words on a highway, the culturally important surface is damaged.",vandalism,7.5,high,highway,8,1
"Delivery vans parked across a school gate after recent rain, children are entering through traffic.",illegal_parking,8.0,high,school,3,1
"Landslide warning sign missing from its pole near a market, night drivers cannot see the hazard.",road_damaged_sign,9.0,critical,market,6,0
"Landslide warning sign faded and unreadable near a market, motorcycles are braking suddenly.",road_damaged_sign,8.0,high,market,6,1
Yaha fohor ko smell dherai aauchha. Bato ra area fohor bhairako cha.,garbage,8.5,high,market,2,1
"Main sewer line overflowing near a school since yesterday, children are walking through dirty water.",drainage,8.0,high,school,1,1
"Pothole caused by heavy rain and flooding, road sinking, very dangerous for pedestrians and vehicles",pothole,8.5,high,residential,5,1
Waste is collecting near the drain and blocking the water flow. The waste is spreading after people pass by.,garbage,8.0,high,hospital,2,1
Garbage has been left in an open place and is spreading around. The waste is creating a serious problem for people using the area.,garbage,7.5,high,market,2,1
"Landslide warning sign covered by posters near a market, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,market,6,1
"Roadside drain overflowing near a school since yesterday, children are walking through dirty water.",drainage,7.5,high,school,1,1
"Public gutter overflowing near a school since yesterday, children are walking through dirty water.",drainage,7.5,high,school,1,1
"Main sewer line overflowing with sewage since yesterday, residents face a serious health risk.",drainage,9.5,critical,residential,1,0
There is food waste on the street and stray dogs are spreading it. It is mostly a small amount of dry waste.,garbage,2.0,low,hospital,2,2
Bato bigrera manche haru lai hidna pani garo bhako cha. Yaha bata hidna garo bhako cha.,pothole,5.5,medium,residential,5,3
There is a pile of household waste beside the road. The waste is close to the walking path.,garbage,9.0,critical,hospital,2,0
Food waste is scattered around because dogs are tearing the bags. People are avoiding that part of the street.,garbage,9.5,critical,school,2,0
"Cross-road drain overflowing with sewage after recent rain, residents face a serious health risk.",drainage,9.5,critical,residential,1,0
"Tourist vans left over a zebra crossing since yesterday, pedestrians are walking into traffic.",illegal_parking,8.5,high,public,3,1
"Taxis left beside a no-parking sign after recent rain, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3
"One garbage bag torn by dogs, some trash on the sidewalk, easy to clean",garbage,3.0,low,residential,2,2
"Cargo vans blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1
"School boundary wall covered with spray-painted tags near an industrial road, the school safety notice is unreadable.",vandalism,7.0,high,industrial,8,1
"Landslide warning sign cracked with a loose edge near a market, drivers are approaching the hazard too quickly.",road_damaged_sign,7.5,high,market,6,1
"Garbage bin full bhayo, fohor bahira jhariraheko cha. Manche haru lai dherai problem bhako cha.",garbage,6.5,high,residential,2,1
"Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors, near the hospital entrance.",trash,7.5,high,hospital,7,1
"The pedestrian crossing surface is cracked and uneven, creating a risk for people crossing the road, near the shopping area.",infrastructure,7.0,high,commercial,4,1
"Several paving blocks are loose and uneven near the school entrance, making the walkway unsafe near the main road junction.",infrastructure,9.5,high,highway,4,1
"Public wall defaced with large drawings near a school, the markings are small but visible.",vandalism,2.5,low,school,8,2
"Public wall covered with illegal advertising near a school, the markings are small but visible.",vandalism,3.0,low,school,8,2
"Hospital direction sign turned toward the wrong road near a school, visitors need help finding the entrance.",road_damaged_sign,3.5,low,school,6,2
"Bus-stop sign faded and unreadable in a commercial area, passengers are stepping into moving traffic.",road_damaged_sign,7.0,high,commercial,6,1
People are throwing waste in the open area and the pile is getting bigger. The waste is spreading after people pass by.,garbage,9.0,critical,residential,2,0
The street is dirty because garbage has not been collected. The waste is burning and smoke is spreading around the area.,garbage,9.5,critical,residential,2,0
There is a hole on the street that drivers are trying to avoid. The hole is creating a serious risk for people using the road.,pothole,9.0,critical,hospital,5,0
"Public notice board covered with illegal advertising in a commercial area, visitors are using the wrong entrance.",vandalism,6.5,high,commercial,8,1
"Loose domestic rubbish has been blown across the street and into the drainage area after strong wind, beside the highway access route.",domestic_trash,8.5,high,highway,0,1
"Construction vehicles parked across a school gate, children are entering through traffic.",illegal_parking,8.5,high,school,3,1
Food waste and plastic packaging are scattered around the neighborhood after garbage bags were damaged along the public walkway.,domestic_trash,9.5,high,public,0,1
"Minibuses blocking a hospital entrance since yesterday, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0
"Delivery vans blocking a public bus stop in Butwal since yesterday, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
There are many empty bottles and plastic bags lying around. Flies are gathering around the waste.,garbage,5.0,medium,market,2,3
"Public toilet left with broken tiles in a public area, residents have requested cleaning.",vandalism,4.0,low,public,8,2
"Motorcycles parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0
A large pile of rubbish has been left beside the roadside near a frequently used pedestrian route near nearby homes.,trash,8.0,high,residential,7,1
"Cars parked at a busy junction after recent rain, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1
"Buses blocking a public bus stop since yesterday, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1
Waste is collecting near the drain and blocking the water flow. Some bags have been torn open.,garbage,5.0,medium,residential,2,3
Trash bags scattered on the street on the highway shoulder.,domestic_trash,7.5,high,highway,0,1
"Taxis parked fully on the footpath after recent rain, pedestrians are forced onto the road.",illegal_parking,8.0,high,residential,3,1
"Junction sign cracked with a loose edge near an industrial road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,industrial,6,1
"Discarded food packaging is covering part of the pavement near the shopping area, near the community area.",trash,4.5,medium,public,7,3
There is a hole near the edge of the road where motorcycles pass. It is on a road used by many people.,pothole,7.0,high,hospital,5,1
Food containers scattered near the shops at at the school entrance.,trash,8.5,high,school,7,1
"Waste enclosure covered with political slogans near a market, residents have requested cleaning.",vandalism,4.5,medium,market,8,3
"Pedestrian underpass marked with offensive words on a residential road, the same place was damaged repeatedly.",vandalism,6.0,medium,residential,8,3
A section of the footpath has sunk below the surrounding surface and is difficult to walk across safely outside several houses.,infrastructure,3.5,low,residential,4,2
Garbage is lying on the street and people are walking around it. The waste has been left there for several days.,garbage,5.5,medium,hospital,2,3
"Bridge-load sign missing from its pole on a residential road, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.0,critical,residential,6,0
Several holes are visible on the road surface. Motorcycles are slowing down at that point.,pothole,7.0,high,market,5,1
"School-side drain leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,8.0,high,hospital,1,1
"A waste collection point is overflowing and loose rubbish is spreading into the nearby road, beside the factory service route.",trash,8.0,high,industrial,7,1
Bato bigreko cha ra pothole ma pani jamcha. Yaha bata hidna garo bhako cha.,pothole,7.5,high,hospital,5,1
"Plastic waste and garbage thrown into the river, polluting the water, environment hazard",garbage,7.0,high,residential,2,1
"Temple wall left with its notice torn down on a highway, special cleaning is required.",vandalism,7.0,high,highway,8,1
The waste collection has not come for a few days. The waste is making the area unpleasant.,garbage,7.0,high,hospital,2,1
"Hospital direction sign painted over near a school, ambulances are missing the correct access road.",road_damaged_sign,8.5,high,school,6,1
"Delivery vans blocking a market loading area, deliveries and shoppers are delayed.",illegal_parking,6.0,medium,market,3,3
"Public gutter covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3
"The pedestrian crossing surface is cracked and uneven, creating a risk for people crossing the road along the highway shoulder.",infrastructure,8.0,high,highway,4,1
"Public notice board left with broken tiles in a commercial area, emergency contact details are blocked.",vandalism,7.0,high,commercial,8,1
"Pickup vehicles blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1
The road is uneven because of a pothole. The hole is creating a serious risk for people using the road.,pothole,9.0,critical,market,5,0
"Loose paving blocks near the entrance, near homes.",infrastructure,5.5,medium,residential,4,3
